date,icao,shift,required_staff,scheduled_staff,coverage_pct
2026-05-27,OMDB,AM,10,10,100
2026-05-27,OMDB,PM,11,10,91
2026-05-27,OMDB,NOC,12,10,83
2026-05-27,OMDW,AM,11,10,91
2026-05-27,OMDW,PM,12,10,83
2026-05-27,OMDW,NOC,13,13,100
2026-05-27,OMAA,AM,12,10,83
2026-05-27,OMAA,PM,13,13,100
2026-05-27,OMAA,NOC,14,13,93
2026-05-27,LFPB,AM,13,13,100
2026-05-27,LFPB,PM,14,13,93
2026-05-27,LFPB,NOC,15,13,87
2026-05-27,EGKB,AM,14,13,93
2026-05-27,EGKB,PM,15,13,87
2026-05-27,EGKB,NOC,16,16,100
2026-05-27,LIRA,AM,15,13,87
2026-05-27,LIRA,PM,16,16,100
2026-05-27,LIRA,NOC,17,16,94
2026-05-27,KMIA,AM,16,16,100
2026-05-27,KMIA,PM,17,16,94
2026-05-27,KMIA,NOC,18,16,89
2026-05-27,RJTT,AM,17,16,94
2026-05-27,RJTT,PM,18,16,89
2026-05-27,RJTT,NOC,19,19,100
