date,icao,station,region,turns,pax,avg_turnaround_min,slot_compliance_pct,ramp_efficiency_pct,fuel_uplift_gal
2026-05-13,OMDB,Dubai (HQ),Middle East,18,90,42,91,68,17100
2026-05-14,OMDB,Dubai (HQ),Middle East,19,95,43,91,68,18050
2026-05-15,OMDB,Dubai (HQ),Middle East,20,100,44,91,68,19000
2026-05-16,OMDB,Dubai (HQ),Middle East,21,105,42,91,68,19950
2026-05-17,OMDB,Dubai (HQ),Middle East,22,110,43,91,68,20900
2026-05-18,OMDB,Dubai (HQ),Middle East,18,90,44,91,68,17100
2026-05-19,OMDB,Dubai (HQ),Middle East,19,95,42,91,68,18050
2026-05-20,OMDB,Dubai (HQ),Middle East,20,100,43,91,68,19000
2026-05-21,OMDB,Dubai (HQ),Middle East,21,105,44,91,68,19950
2026-05-22,OMDB,Dubai (HQ),Middle East,22,110,42,91,68,20900
2026-05-23,OMDB,Dubai (HQ),Middle East,18,90,43,91,68,17100
2026-05-24,OMDB,Dubai (HQ),Middle East,19,95,44,91,68,18050
2026-05-25,OMDB,Dubai (HQ),Middle East,20,100,42,91,68,19000
2026-05-26,OMDB,Dubai (HQ),Middle East,21,105,43,91,68,19950
2026-05-13,OMDW,Dubai DWC,Middle East,21,126,43,90,69,21630
2026-05-14,OMDW,Dubai DWC,Middle East,22,132,44,90,69,22660
2026-05-15,OMDW,Dubai DWC,Middle East,23,138,45,90,69,23690
2026-05-16,OMDW,Dubai DWC,Middle East,24,144,43,90,69,24720
2026-05-17,OMDW,Dubai DWC,Middle East,25,150,44,90,69,25750
2026-05-18,OMDW,Dubai DWC,Middle East,21,126,45,90,69,21630
2026-05-19,OMDW,Dubai DWC,Middle East,22,132,43,90,69,22660
2026-05-20,OMDW,Dubai DWC,Middle East,23,138,44,90,69,23690
2026-05-21,OMDW,Dubai DWC,Middle East,24,144,45,90,69,24720
2026-05-22,OMDW,Dubai DWC,Middle East,25,150,43,90,69,25750
2026-05-23,OMDW,Dubai DWC,Middle East,21,126,44,90,69,21630
2026-05-24,OMDW,Dubai DWC,Middle East,22,132,45,90,69,22660
